time_s,value
2.006000,2.961488
2.022000,3.026488
2.035000,3.051488
2.048000,3.056488
2.061000,3.046488
2.078000,3.006488
2.096000,2.991488
2.109000,2.986488
2.125000,2.946488
2.142000,2.881488
2.158000,2.826488
2.170000,2.796488
2.181000,2.751488
2.194000,2.716488
2.209000,2.686488
2.225000,2.711488
2.241000,2.771488
2.252000,2.826488
2.264000,2.911488
2.276000,2.956488
2.292000,3.006488
2.308000,3.051488
2.320000,3.071488
2.331000,3.106488
2.344000,3.146488
2.358000,3.191488
2.370000,3.226488
2.381000,3.271488
2.394000,3.331488
2.409000,3.416488
2.425000,3.506488
2.436000,3.556488
2.448000,3.601488
2.460000,3.651488
2.475000,3.736488
2.486000,3.786488
2.498000,3.821488
2.510000,3.871488
2.525000,3.926488
2.541000,3.976488
2.553000,4.031488
2.565000,4.076488
2.577000,4.116488
2.592000,4.161488
2.608000,4.206488
2.619000,4.231488
2.631000,4.251488
2.643000,4.266488
2.658000,4.281488
2.669000,4.301488
2.681000,4.321488
2.693000,4.341488
2.709000,4.371488
2.725000,4.391488
2.741000,4.411488
2.753000,4.421488
2.765000,4.436488
2.777000,4.446488
2.792000,4.456488
2.808000,4.466488
2.819000,4.471488
2.831000,4.471488
2.843000,4.476488
2.858000,4.476488
2.869000,4.476488
2.881000,4.471488
2.893000,4.461488
2.908000,4.451488
2.919000,4.436488
2.931000,4.426488
2.943000,4.401488
2.958000,4.366488
2.975000,4.301488
2.992000,4.196488
3.009000,4.051488
3.025000,3.851488
3.041000,3.496488
3.053000,3.231488
3.064000,2.886488
3.077000,2.516488
3.092000,1.876488
3.108000,1.316488
3.125000,0.501488
3.136000,0.000000
3.148000,0.000000
3.160000,0.000000
3.175000,0.000000
3.191000,0.000000
3.208000,0.000000
3.219000,0.000000
3.231000,0.000000
3.243000,0.000000
3.258000,0.000000
3.269000,0.000000
3.281000,0.000000
3.293000,0.000000
3.308000,0.000000
3.325000,0.000000
3.341000,0.000000
3.353000,0.000000
3.365000,0.000000
3.377000,0.000000
3.392000,0.000000
3.408000,1.316488
3.419000,2.291488
3.431000,3.091488
3.443000,3.466488
3.458000,3.816488
3.474000,4.061488
3.486000,4.171488
3.498000,4.256488
3.510000,4.326488
3.525000,4.386488
3.541000,4.436488
3.552000,4.461488
3.564000,4.481488
3.577000,4.501488
3.591000,4.516488
3.608000,4.521488
3.619000,4.526488
3.631000,4.531488
3.643000,4.531488
3.658000,4.536488
3.669000,4.541488
3.681000,4.541488
3.693000,4.546488
3.708000,4.546488
3.724000,4.546488
3.736000,4.551488
3.748000,4.556488
3.760000,4.556488
3.774000,4.561488
3.786000,4.561488
3.798000,4.566488
3.810000,4.566488
3.825000,4.571488
3.842000,4.576488
3.858000,4.576488
3.874000,4.576488
3.886000,4.576488
3.898000,4.571488
3.910000,4.566488
3.925000,4.566488
3.941000,4.571488
3.952000,4.571488
3.964000,4.576488
3.976000,4.571488
3.991000,4.566488
4.008000,4.561488
4.019000,4.561488
4.031000,4.566488
4.043000,4.566488
4.058000,4.571488
4.069000,4.576488
4.081000,4.576488
4.093000,4.576488
4.108000,4.576488
4.119000,4.581488
4.131000,4.581488
4.143000,4.586488
4.158000,4.586488
4.175000,4.586488
4.191000,4.591488
4.207000,4.591488
4.219000,4.591488
4.231000,4.591488
4.243000,4.586488
4.258000,4.586488
4.274000,4.586488
4.291000,4.586488
4.302000,4.591488
4.314000,4.591488
4.326000,4.596488
4.340000,4.596488
4.352000,4.591488
4.364000,4.586488
4.376000,4.581488
4.391000,4.576488
4.402000,4.571488
4.414000,4.571488
4.426000,4.566488
4.441000,4.561488
4.457000,4.556488
4.469000,4.546488
4.480000,4.531488
4.492000,4.516488
4.508000,4.466488
4.524000,4.411488
4.535000,4.356488
4.547000,4.291488
4.559000,4.246488
4.574000,4.141488
4.591000,4.006488
4.602000,3.906488
4.614000,3.746488
4.626000,3.626488
4.641000,3.426488
4.652000,3.161488
4.664000,2.936488
4.676000,2.491488
4.691000,2.156488
4.707000,1.916488
4.719000,1.641488
4.731000,1.546488
4.743000,1.471488
4.757000,1.516488
4.769000,1.571488
4.781000,1.576488
4.793000,1.586488
4.808000,1.661488
4.824000,1.796488
4.841000,1.601488
4.852000,1.276488
4.863000,1.016488
4.875000,0.806488
4.890000,0.561488
4.902000,0.521488
4.914000,0.561488
4.926000,0.746488
4.941000,0.986488
4.957000,1.316488
4.974000,1.311488
4.985000,1.186488
4.997000,1.136488
5.009000,1.111488
5.024000,1.276488
5.040000,2.031488
5.052000,2.541488
5.064000,2.896488
5.076000,3.321488
5.091000,3.691488
5.107000,4.016488
5.124000,4.206488
5.135000,4.286488
5.147000,4.346488
5.159000,4.386488
5.174000,4.426488
5.190000,4.456488
5.202000,4.466488
5.214000,4.476488
5.226000,4.481488
5.241000,4.466488
5.257000,4.421488
5.268000,4.376488
5.280000,4.311488
5.293000,4.186488
5.307000,3.891488
5.324000,3.156488
5.335000,2.216488
5.347000,0.561488
5.358000,0.000000
5.374000,1.971488
5.390000,2.891488
5.402000,3.276488
5.414000,3.481488
5.426000,3.601488
5.441000,3.661488
5.457000,3.761488
5.474000,3.906488
5.485000,4.031488
5.497000,4.141488
5.509000,4.236488
5.524000,4.316488
5.541000,4.371488
5.557000,4.396488
5.573000,4.406488
5.585000,4.406488
5.597000,4.396488
5.609000,4.381488
5.624000,4.336488
5.635000,4.271488
5.647000,4.186488
